Open,0.714,0.7836,0.92261,0.86543,0.86155,0.87529,0.9201,0.79363,0.84528,0.80677,0.86262,0.86835,0.83149,0.83399,0.85994,0.88176,0.88962,0.90168,0.86411,0.82612
Open,470.24,469.14,466.3,456.63,432.17,420.07,410.9,417.66,406.99,408.66,404.88,377.82,355.63,363.27,331.84,317.85,318.16,283.92,278.39,281.34
High,471.7,472.6,469.93,458.21,437.21,424.68,420.0,419.0,413.65,413.98,410.73,380.61,370.39,365.75,332.7,327.93,323.54633,283.95,304.99,299.01
Low,461.34,461.393,446.67,427.4,407.75,407.51,397.84,400.82,399.0,401.0,368.0,346.35,350.83,326.01,305.0,314.13,280.8,249.93,277.0,278.0
Close,469.25,466.47,456.65,431.98,420.03,410.89,417.72,407.0,408.75,404.95,377.82,355.62,363.27,331.65,317.84,318.16,283.92,278.38,281.27,286.92
Volume,44451.71,42392.375,133397.23,149052.72,182067.53,78955.47,148123.7,107277.0,89015.91,45616.992,190732.16,307746.97,129478.25,170085.16,231939.95,123158.48,320341.0,441709.6,386126.34,195509.73
Open,185.17465,183.17,211.09,208.49,221.48,220.18,196.03,208.36,209.83,225.0,247.81,240.99,244.7,227.84113,219.25,214.26,229.24,221.92,231.52,232.96
High,185.17465,215.19,224.21,228.08,223.7,226.77,222.0,215.83,230.0,252.0,255.0,249.68958,245.9,227.85,223.0,235.2,234.19,239.46,239.46,235.75
Low,167.3211,183.17,202.95,208.33,203.0,192.5,193.88,196.0,207.0,221.23,232.98,236.95,225.01,202.32,207.31,209.96,214.68,212.39,226.0,224.0
Close,183.17,211.09,208.49,221.48,220.16,196.03,208.36,209.83,225.0,247.8,241.0,244.7,227.85,219.26,214.24,229.29,221.92,231.52,232.86,231.49
Volume,744844.9,856245.0,825121.44,454144.44,376096.38,968799.6,596607.8,630770.25,455866.4,712207.4,346303.72,248223.62,402802.25,692661.25,412757.22,377359.9,484492.4,478576.7,312460.34,180635.78
Open,222.37,228.5444,225.31,226.29,230.20395,228.58,226.7,191.17,197.02,201.22,196.75,214.31,215.13,212.8,206.07,204.92,208.17,207.28116,206.56,205.89912
High,233.48,229.31,227.76,234.9,231.66566,228.68,226.7,201.82,203.0,203.7,242.62,219.43,217.07,215.0,207.88,209.98,212.0,208.86,208.0,208.0
Low,219.34415,222.6,220.49,224.2,226.71207,223.3,188.35,189.5,196.56,194.01,194.49,211.39,209.66,203.53,203.69,203.58,206.31,205.01126,202.53,205.05
Close,228.54,225.31,226.28,230.20395,228.58,226.7,191.16,197.02,201.23,196.75,214.31,215.12,212.83,206.08,204.93,208.16,207.29,206.56,205.89912,205.23
Volume,201606.23,106611.625,102616.664,247534.66,109442.5,152915.66,657718.6,292020.44,134531.88,166127.36,967343.56,136361.19,105799.2,187517.27,136359.45,90809.8,87016.23,74557.375,116461.16,83367.23
Open,204.23,205.01,196.9,197.33,198.7,199.86,202.23,200.3,212.3,210.82603,220.84,218.99,212.71,211.01,213.19,212.99725,212.67761,209.85,187.2,184.15
High,205.77,205.49,199.0,201.89,200.99,204.29,202.49,218.92,213.83849,221.57,225.12,220.76,215.48,217.45,213.7,215.0,213.36,211.4,190.0,185.17
Low,203.74,195.16,195.89,193.04,198.04701,199.66,196.5,198.86,207.83,209.18,217.28,212.0,209.05,210.52,206.28,210.58,208.73,175.01,171.36,171.83
Close,204.96667,196.91,197.33,198.7,199.81,202.22,200.3,212.3,210.83,220.83,218.98,212.70163,211.01,213.2,212.99,212.68,209.85,187.21,184.15,176.95
Volume,43305.31,173795.53,74821.68,128439.3,49984.402,101815.195,56750.133,246708.45,110806.5,199789.72,238845.61,107090.83,76541.58,67049.836,89782.2,92710.94,116036.484,859024.56,534880.94,301484.66
Open,91.833,87.901,85.193,85.74,86.601,97.249,104.09,102.38,118.37,111.32,120.49,133.76,142.46,133.0,134.6,118.58,142.14,140.33101,144.21,136.0
High,93.048,88.54806,86.698,91.461,100.39,105.77,110.9,120.7,122.66,121.0,138.94,163.5,143.5,141.65,136.0,143.9,153.0,145.25,144.5,148.15192
Low,85.944,83.666,83.17,85.573326,86.21167,94.498,101.64896,101.4,108.65,108.85,120.48,133.48,124.5,127.36,116.3,117.1,136.0,134.0,132.05,134.68
Close,87.901,85.198,85.74,86.56,97.25,104.08,102.41,118.47,111.1,120.49427,133.76,142.53484,132.99,134.58,118.57,142.15,140.33101,144.2,136.0,145.0
Volume,324648.22,320709.25,220428.36,307459.6,535822.94,446992.1,662715.8,808708.94,625199.44,353815.44,670300.7,1282427.8,860106.0,554950.56,686035.4,758746.1,685328.3,443216.0,378190.2,392621.5
Open,158.71,158.36,160.76,154.79,152.88,152.66234,129.52,128.76,127.39,117.94,131.45921,122.6,124.42,125.24,121.88,126.0,119.08,117.42,120.19,118.75893
High,167.0,165.86,162.59,158.09125,162.76,154.8,131.79,130.37,128.06,134.5,134.29,131.36,127.32,125.66,132.36,126.87,120.53,122.12,121.29,120.12
Low,155.0,152.59,153.0,146.0,151.0,125.71,124.43,126.1,116.1,117.79,119.29,121.38,119.34,120.16,121.87653,107.51,114.65,112.2,117.03,115.65
Close,158.32,160.84,154.79,152.86,152.65,129.5,128.73,127.41,117.94,131.45,122.6,124.36,125.25,121.82,126.01,119.1,117.5,120.19,118.76,119.05314
Volume,500826.3,507028.22,193398.33,394338.7,291789.53,684813.2,281137.06,142552.9,245786.6,380637.94,360220.5,300508.53,258914.72,146720.88,285043.72,370891.8,207936.02,298453.03,153142.55,181027.11
Open,146.61,151.36,148.30304,151.27,161.54,135.3,141.17,139.36,137.72,138.18,138.53,135.59,133.27646,128.39,140.03708,140.56958,140.03,136.19,140.04,138.19868
High,152.99,156.4,152.43,163.78,170.0,144.78,141.75,144.19,143.0,141.44,139.31,137.99,133.8874,141.0,143.83,143.3,143.0628,141.71,140.4,138.76
Low,143.6,145.0,146.1,148.75,134.59,134.96,136.22,128.8,136.0,137.81,132.63,130.4,125.88,127.74,136.5,138.32,131.0,135.37,136.5,133.46
Close,151.41,148.3,151.27,161.53746,135.2,141.21,139.37,137.71,138.17,138.5,135.59746,133.23,128.39,140.0,140.57,140.04,136.18,140.04,138.2,135.41228
Volume,315090.62,324665.16,349070.16,442932.8,880143.1,322418.7,140020.02,372477.6,327681.66,112400.5,179045.31,110320.336,217570.92,302894.16,236683.61,144044.55,254452.02,172797.25,102267.33,168750.17
Open,8357.4,8056.2,7888.9,8172.7,8273.6,8863.3,8912.4,8791.4,8940.3,9646.9,8867.4,9268.9,8920.1,9345.3,9400.0,9240.6,9071.3,9236.4,9759.0,9703.0
High,8415.5,8185.0,8237.2,8297.4,8937.5,9069.0,9048.2,9011.0,9745.0,9767.4,9308.0,9381.1,9500.0,9565.1,9450.0,9247.3,9279.9,9875.0,9848.0,9990.0
Low,7900.3,7823.0,7870.5,8032.2,8219.0,8616.0,8751.085,8769.0,8929.9,8765.1,8652.2,8888.6,8750.0,9180.0,9100.0,8817.975,8968.3,9161.0,9542.5,9685.0
Close,8056.2,7888.9,8171.0,8273.0,8865.4,8912.5,8791.4,8940.0,9646.8,8869.2,9269.9,8920.1,9345.7,9400.0,9240.6,9068.2,9236.4,9759.0,9703.0,9861.2
Volume,37556.906,28238.531,29561.232,29215.277,50910.49,39569.363,31444.63,23257.404,60351.438,74563.79,43219.824,30153.537,45082.684,27317.19,23272.441,25618.299,20183.068,36486.07,24541.758,29515.17
Open,9184.8,9318.2,9018.0,8412.4,8471.4,8683.5,8670.8,8468.3,8336.0,8054.8,8239.0,8230.9,8523.7,8393.4,7977.5,7494.7505,7576.7,7457.0,7328.3,7339.6
High,9375.8,9393.9,9018.1,8631.7,8760.0,8884.5,8855.7,8492.7,8482.2,8277.2,8468.0,8597.9,8644.0,8408.285,8020.0,7729.832,7654.1,7624.1,7425.4,7437.7
Low,8980.0,9003.0,8333.8,8204.406,8318.3,8271.0,8415.0,8100.0,7982.5,7925.0,8140.2,8171.5,8309.1,7943.3,7402.7,7260.0,7318.2,7281.0,7211.1,7062.3
Close,9318.2,9018.0,8412.4,8470.8,8683.6,8670.8,8467.5,8336.1,8054.3,8238.9,8231.0,8523.7,8399.6,7977.85,7494.8,7576.7,7456.7,7327.7,7339.7,7097.9
Volume,22806.838,23656.32,54491.37,36656.113,22901.027,37154.668,26208.303,32761.818,25198.754,23441.863,14145.516,15500.062,17243.428,20533.752,41682.566,38874.0,25874.777,13810.018,16174.927,26677.87
Open,7485.9,7521.1,7638.0,7718.1,7488.4,7622.2,7654.0,7689.0,7615.2,7498.5,6757.9,6873.4,6543.9,6295.0,6633.8,6386.0,6489.0,6443.0,6709.2,6734.8
High,7599.8,7698.8,7779.0,7764.0,7675.0,7700.0,7756.3,7697.0,7685.0,7498.6,6899.0,6873.4,6611.7,6736.521,6659.0,6559.7,6573.0,6849.7,6848.2,6825.0
Low,7329.1885,7441.5,7600.0,7451.1,7372.0,7491.7,7624.7,7543.6,7450.0,6618.9,6629.7,6436.1,6107.877,6269.5,6300.2,6330.0,6424.8,6370.7695,6655.0,6560.0
Close,7521.0,7638.1,7718.0,7488.3,7621.9,7654.0,7688.9,7615.1,7498.5,6758.0,6873.3,6543.9,6295.1,6633.7,6385.0,6485.9,6438.4,6709.2,6735.5,6760.4
Volume,19041.115,17363.613,13794.542,18132.682,16738.81,18269.764,11037.506,12197.843,7242.2603,57822.89,22377.742,32008.312,45577.582,33064.78,21286.5,13697.176,9441.017,26388.777,17375.77,18710.812
Open,6729.2,7319.8,7379.7,7473.5,7333.1,7403.3,7398.7,7718.9,8389.9,8175.6,7939.0,8187.9,8235.7,8220.1,8178.9,7737.9,7606.6,7533.3,7420.3,7013.216
High,7483.9,7588.0,7560.0,7685.2,7459.0,7575.0,7820.0,8506.7,8488.1,8323.1,8291.0,8262.0,8313.3,8301.729,8178.9,7756.1,7713.0,7533.3,7492.2,7090.0
Low,6666.0,7246.5,7281.4,7273.1,7221.0,7329.1,7374.0,7690.0,8073.0,7869.6,7815.085,8055.0,8123.0,7861.2,7664.8975,7440.2,7450.0,7282.1,6928.8,6890.0
Close,7319.8,7379.4,7473.5,7333.1,7403.4,7397.6,7719.8,8390.0,8178.4,7939.0,8188.0,8235.6,8221.0,8179.5,7731.3,7606.0,7535.2,7420.0,7013.216,7025.8
Volume,48125.168,39618.93,22194.191,32744.682,11412.432,17184.043,47517.73,64736.63,36972.152,32809.58,34223.95,13681.621,10190.341,37580.31,43560.68,30739.387,17682.629,30882.543,31690.264,17680.666
Open,6280.7,6533.6,6147.1,6233.1,6313.9,6251.9,6189.0,6270.2,6314.6,6585.9,6391.1,6485.1,6255.9,6480.6,6363.8,6527.2,6693.3,6733.0,6707.0,6909.5
High,6628.0,6573.8,6499.5,6499.0,6548.3,6251.9,6647.6,6476.7,6592.9,6619.5,6550.3,6524.0,6526.2,6899.0,6566.6357,6728.6,6799.7,6789.0,6942.2,7127.9
Low,6183.0,6010.0,6008.1,6162.0,6137.6,5858.6,6180.0054,6212.9,6290.0,6300.0,6309.3,6230.0,6245.0,6250.3,6350.0,6451.0,6670.0,6557.0,6652.7,6872.0
Close,6533.6,6146.7,6233.1,6313.9,6251.9,6189.0,6270.2,6315.6,6584.0464,6391.2,6485.1,6255.9,6479.1,6363.8,6527.2,6693.6,6732.9,6707.0,6909.4,7079.9
Volume,33388.96,43492.066,36859.25,23052.42,32330.834,52699.453,66221.76,25120.4,26770.078,19731.248,15354.061,31723.094,29502.963,58965.957,19945.672,20203.725,16877.246,16762.38,24210.367,30066.238
Open,6710.0303,6585.0,6442.71,6462.3,6691.4,6635.1,6597.2,6622.3,6602.0,6530.1,6503.1,6591.1,6639.9,6595.1,6609.4,6673.3,6663.0,6630.0,6251.9,6292.0
High,6721.7,6585.1,6558.0,6745.0,6826.4194,6635.1,6662.8,6660.0,6644.7,6555.1,6648.8,6741.4365,6648.2,6640.4,6730.0,6682.0,6663.1,6630.074,6353.4,6333.7
Low,6555.0,6328.0,6382.5,6436.7,6541.9,6454.2,6529.6,6500.0,6467.9,6424.6,6495.2,6506.6,6563.7,6525.0,6585.9,6605.0,6513.5293,6220.4,6220.3,6280.3
Close,6585.1,6442.8,6462.4,6691.2,6635.2,6597.3,6622.4,6601.9,6527.5,6503.2,6590.4,6639.9,6595.2,6609.4,6673.2,6663.0,6630.074,6251.9,6291.9,6326.5
Volume,17766.506,20238.002,13811.668,18368.033,27892.967,17305.627,8494.153,10358.012,12037.348,14574.474,11471.882,12447.964,5805.93,5815.8477,12698.954,8062.047,13830.606,41613.89,10404.901,5818.1514
Open,6754.2,6735.6,6613.3,6524.3,6586.7,6590.0537,6567.3,6550.0,6554.0967,6528.1,6531.5,6500.1,6490.1772,6346.571,6330.1,6368.4,6406.2,6427.0,6389.2,6491.8
High,6794.0,6779.9,6639.5,6611.0,6660.8,6627.9,6591.6,6626.3,6568.7,6597.4,6560.0,6513.884,6512.0,6383.6,6419.8,6443.9,6456.1,6432.4,6529.4,6500.6
Low,6674.3,6566.7,6518.2,6511.0,6581.2,6535.1,6525.3,6536.0,6462.9,6511.0,6476.9,6451.0,6320.8,6302.0,6242.1,6352.9023,6389.9,6323.0,6357.9,6435.3
Close,6736.0,6613.2,6525.1,6581.5,6590.9,6567.3,6550.0,6554.1,6528.0,6531.477,6500.2,6490.1,6346.5,6330.1,6368.387,6406.1,6427.0,6389.1,6491.7,6470.2
Volume,8881.723,12537.277,11238.917,4647.712,4419.7793,6072.6636,8864.253,8522.941,8712.498,7424.5767,6970.884,6843.479,19574.11,10740.016,9959.017,9158.808,8076.8257,11439.563,8995.178,4814.6636
Open,4241.3574,4172.946,3903.0,3982.2,3771.4,3531.0,3460.1,3506.0,3642.1,3523.2,3435.2,3535.7,3354.3,3281.7,3282.3,3300.1,3623.9,3780.7,3810.0,4214.5
High,4369.8,4189.8,4135.9,4000.771,3922.7,3630.0,3800.1,3789.0,3709.7,3551.5,3617.4,3547.1,3395.2,3324.2,3383.0,3744.8,3799.9,4043.0,4299.0,4300.0
Low,4113.0,3830.1,3785.5,3750.0,3503.0,3277.6,3316.1,3465.4,3475.8,3381.8,3415.0,3317.0,3224.0,3215.2,3276.2,3280.0,3546.9,3756.0,3780.1,3902.0
Close,4173.0,3901.2,3981.9,3772.9,3531.0,3460.0,3506.0,3642.3,3523.0,3435.2815,3535.6,3354.3,3281.7,3283.4,3301.5,3625.0,3780.8,3810.0,4214.5,3976.0
Volume,24479.404,36855.836,33692.11,28429.762,58288.297,74094.336,39086.816,25081.113,22610.48,24048.15,20930.781,22248.787,28559.127,17889.938,19106.502,35727.824,29430.998,55272.477,65871.47,43526.824
Open,4140.7,3909.6,3930.0,3714.1,4036.8,3893.9,3978.5,3832.6287,3963.0,4049.0,3923.2,3954.9,3911.8,4169.2,4113.9,4100.0,4083.3,3712.8,3715.4,3702.0
High,4155.0,3990.0,3968.8,4095.0,4099.7,4003.8,3986.9,3987.0,4083.4707,4056.6443,3986.0,4014.9,4218.0,4197.0,4215.8,4168.9,4143.3,3777.8,3734.0,3729.0
Low,3812.1,3812.1,3686.0,3696.3,3859.3,3838.9,3771.0,3788.1,3917.9,3875.1,3850.1,3901.0,3887.5,4044.9,4056.0,4010.0,3687.2,3666.6,3666.6,3570.0
Close,3909.7,3930.0,3712.0,4036.7,3894.0,3977.3,3830.5,3963.1,4048.8,3924.3,3954.9,3911.9,4168.4,4113.9,4100.0,4083.3,3712.8,3714.8,3702.0,3591.0
Volume,33727.406,19130.775,23614.324,26917.867,18707.064,17733.65,15793.289,13848.347,19437.729,10520.204,13228.66,14873.962,25179.732,11253.197,18726.53,20629.098,35020.07,13129.896,9295.714,12589.809
Open,3675.4,3722.5,3675.7,3762.9,3586.1,3579.4,3639.1,3621.3,3652.8,3628.9,3631.2,3597.1,3501.1,3478.0,3529.7,3503.8,3534.9,3564.3,3501.7388,3490.4688
High,3725.0,3723.9,3882.0,3796.9,3620.1,3682.1414,3677.0,3671.4,3663.5,3750.0,3645.7,3597.9,3517.5,3550.0,3574.8098,3559.0,3581.0,3566.8,3522.7,3517.5
Low,3606.2,3652.3884,3673.9,3543.0,3548.3,3462.0,3591.2,3589.452,3580.0,3622.9,3541.0,3445.3,3422.0,3451.2,3482.0,3460.0,3498.7598,3470.1,3475.3,3475.1
Close,3722.5,3675.7,3762.3,3586.1,3579.4,3639.1,3622.3,3652.705,3628.9,3631.2,3597.1,3501.886,3477.9,3529.6,3503.8,3534.7705,3564.2,3501.7388,3490.4688,3513.0
Volume,10869.946,5656.109,13391.468,20626.512,10813.621,18083.7,7971.4795,7867.69,7377.578,13005.571,11448.51,17023.738,10466.258,12580.21,8572.286,10041.099,10889.807,7874.5483,5213.2163,4590.399
